Marca,Modelo,Ano,Motor
Hyundai,HB20,2012,1.0 12V
Chevrolet,Onix,2015,1.0 12V
Volkswagen,Polo,2020,1.6 16V
Toyota,Yaris,2015,1.5 16V
Renault,Sandero,2010,1.0 16V
Hyundai,Creta,2017,2.0 16V
Chevrolet,Prisma,2013,1.4 8V
Volkswagen,Up,2015,1.0 12V
Fiat,Mobi,2016,1.0 12V
Ford,EcoSport,2018,1.6 16V
Honda,HR-V,2019,1.8 16V
Toyota,Corolla,2020,2.0 16V
Volkswagen,Nivus,2021,1.0 12V
Chevrolet,Tracker,2020,1.0 12V
Fiat,Cronos,2021,1.3 8V
Renault,Kwid,2018,1.0 12V
Hyundai,Elantra,2019,2.0 16V
Ford,Ranger,2020,2.2 16V
Chevrolet,S10,2020,2.5 16V
Volkswagen,T-Cross,2021,1.4 16V
Honda,Civic,2021,2.0 16V
Toyota,Camry,2021,2.5 16V
Fiat,Fiorino,2015,1.4 8V
Renault,Duster,2020,1.6 16V
Hyundai,Accent,2008,1.6 16V
Chevrolet,Astra,2007,2.0 16V
Ford,Focus,2012,2.0 16V
Volkswagen,Saveiro,2010,1.6 8V
Honda,City,2015,1.5 16V
Toyota,Etios,2014,1.5 16V
Fiat,Palio,2003,1.0 8V
Renault,Logan,2013,1.0 16V
Hyundai,I30,2013,2.0 16V
Chevrolet,Spin,2013,1.8 8V
Ford,Ka,2018,1.0 12V
Volkswagen,Jetta,2015,2.0 16V
Honda,Fit,2020,1.5 16V
Toyota,Corolla,2018,2.0 16V
Fiat,Argo,2020,1.3 8V
Renault,Captur,2021,1.3 8V
Hyundai,Creta,2021,2.0 16V
Chevrolet,Onix Plus,2020,1.0 12V
Volkswagen,Tiguan,2020,2.0 16V
Ford,Edge,2019,2.7 16V
Honda,HR-V,2020,1.8 16V
Toyota,RAV4,2021,2.5 16V
Fiat,Toro,2021,2.0 16V
Renault,Fluence,2015,2.0 16V
Hyundai,HB20S,2017,1.6 16V
Chevrolet,Cobalt,2017,1.8 8V
Ford,Fiesta,2013,1.6 16V
Volkswagen,Amarok,2019,2.0 16V
Honda,Civic,2017,2.0 16V
Toyota,Corolla,2017,2.0 16V
Fiat,Grand Siena,2014,1.6 16V
Renault,Stepway,2016,1.6 16V
Hyundai,ix35,2015,2.0 16V
Chevrolet,Cruze,2016,1.8 16V
Ford,Kuga,2018,2.0 16V
Volkswagen,Passat,2015,2.0 16V
Honda,City,2018,1.5 16V
Toyota,Yaris,2018,1.5 16V
Fiat,Strada,2015,1.4 8V
Renault,Master,2020,2.3 16V
Hyundai,Azera,2015,3.0 24V
Chevrolet,Trailblazer,2018,2.8 16V
Ford,Ranger,2019,2.2 16V
Volkswagen,CrossFox,2012,1.6 8V
Honda,Fit,2018,1.5 16V
Toyota,Etios,2017,1.5 16V
Fiat,Idea,2013,1.4 8V
Renault,Koleos,2017,2.5 16V
Hyundai,Tucson,2016,2.0 16V
Chevrolet,Prisma,2015,1.4 8V
Ford,Focus,2018,2.0 16V
Volkswagen,Up,2016,1.0 12V
Honda,Civic,2019,2.0 16V
Toyota,Camry,2019,2.5 16V
Fiat,Punto,2012,1.4 8V
Renault,Logan,2015,1.6 16V
Hyundai,HB20,2020,1.0 12V
Chevrolet,Onix,2021,1.0 12V
Ford,EcoSport,2020,1.6 16V
Volkswagen,T-Cross,2021,1.4 16V
Honda,HR-V,2021,1.8 16V
Toyota,Corolla,2021,2.0 16V
Fiat,Cronos,2021,1.3 8V
Renault,Kwid,2019,1.0 12V
Hyundai,Creta,2021,2.0 16V
Chevrolet,Tracker,2021,1.0 12V
Volkswagen,Nivus,2021,1.0 12V
Ford,Ranger,2021,2.2 16V
Honda,Civic,2020,2.0 16V
Toyota,Camry,2020,2.5 16V
